ticker,fiscal_period,period_end_date,accession_no,segment,metric_name,metric_value,metric_unit,source_label
LEN,Q3 2025,2025-09-18,0000920760-25-000003,consolidated,community_count,1664.0,count,https://www.sec.gov/Archives/edgar/data/920760/000092076025000003/ex991-2025831x8kq3.htm
LEN,Q3 2025,2025-09-18,0000920760-25-000003,consolidated,closings_units,21584.0,units,https://www.sec.gov/Archives/edgar/data/920760/000092076025000003/ex991-2025831x8kq3.htm
LEN,Q3 2025,2025-09-18,0000920760-25-000003,consolidated,asp_dollars,383000.0,usd,https://www.sec.gov/Archives/edgar/data/920760/000092076025000003/ex991-2025831x8kq3.htm
LEN,Q3 2025,2025-09-18,0000920760-25-000003,consolidated,gross_margin_pct,17.5,pct,https://www.sec.gov/Archives/edgar/data/920760/000092076025000003/ex991-2025831x8kq3.htm
LEN,Q2 2025,2025-06-16,0001628280-25-031665,consolidated,net_orders_units,22601.0,units,https://www.sec.gov/Archives/edgar/data/920760/000162828025031665/ex991-2025531x8kq2.htm
LEN,Q2 2025,2025-06-16,0001628280-25-031665,consolidated,backlog_units,15538.0,units,https://www.sec.gov/Archives/edgar/data/920760/000162828025031665/ex991-2025531x8kq2.htm
LEN,Q2 2025,2025-06-16,0001628280-25-031665,consolidated,community_count,1617.0,count,https://www.sec.gov/Archives/edgar/data/920760/000162828025031665/ex991-2025531x8kq2.htm
LEN,Q2 2025,2025-06-16,0001628280-25-031665,consolidated,closings_units,20131.0,units,https://www.sec.gov/Archives/edgar/data/920760/000162828025031665/ex991-2025531x8kq2.htm
LEN,Q2 2025,2025-06-16,0001628280-25-031665,consolidated,asp_dollars,389000.0,usd,https://www.sec.gov/Archives/edgar/data/920760/000162828025031665/ex991-2025531x8kq2.htm
LEN,Q2 2025,2025-06-16,0001628280-25-031665,consolidated,gross_margin_pct,18.0,pct,https://www.sec.gov/Archives/edgar/data/920760/000162828025031665/ex991-2025531x8kq2.htm
LEN,Q1 2025,2025-03-20,0001628280-25-014148,consolidated,net_orders_units,18355.0,units,https://www.sec.gov/Archives/edgar/data/920760/000162828025014148/ex991-2025228x8kq1.htm
LEN,Q1 2025,2025-03-20,0001628280-25-014148,consolidated,backlog_units,13145.0,units,https://www.sec.gov/Archives/edgar/data/920760/000162828025014148/ex991-2025228x8kq1.htm
LEN,Q1 2025,2025-03-20,0001628280-25-014148,consolidated,community_count,1584.0,count,https://www.sec.gov/Archives/edgar/data/920760/000162828025014148/ex991-2025228x8kq1.htm
LEN,Q1 2025,2025-03-20,0001628280-25-014148,consolidated,closings_units,17834.0,units,https://www.sec.gov/Archives/edgar/data/920760/000162828025014148/ex991-2025228x8kq1.htm
LEN,Q1 2025,2025-03-20,0001628280-25-014148,consolidated,asp_dollars,408000.0,usd,https://www.sec.gov/Archives/edgar/data/920760/000162828025014148/ex991-2025228x8kq1.htm
LEN,Q1 2025,2025-03-20,0001628280-25-014148,consolidated,gross_margin_pct,18.7,pct,https://www.sec.gov/Archives/edgar/data/920760/000162828025014148/ex991-2025228x8kq1.htm
LEN,Q4 FY2024,2024-12-18,0001628280-24-051885,consolidated,net_orders_units,16895.0,units,https://www.sec.gov/Archives/edgar/data/920760/000162828024051885/ex991-20241130x8kq4.htm
LEN,Q4 FY2024,2024-12-18,0001628280-24-051885,consolidated,backlog_units,11633.0,units,https://www.sec.gov/Archives/edgar/data/920760/000162828024051885/ex991-20241130x8kq4.htm
LEN,Q4 FY2024,2024-12-18,0001628280-24-051885,consolidated,community_count,1447.0,count,https://www.sec.gov/Archives/edgar/data/920760/000162828024051885/ex991-20241130x8kq4.htm
LEN,Q4 FY2024,2024-12-18,0001628280-24-051885,consolidated,closings_units,22206.0,units,https://www.sec.gov/Archives/edgar/data/920760/000162828024051885/ex991-20241130x8kq4.htm
LEN,Q4 FY2024,2024-12-18,0001628280-24-051885,consolidated,asp_dollars,430000.0,usd,https://www.sec.gov/Archives/edgar/data/920760/000162828024051885/ex991-20241130x8kq4.htm
LEN,Q4 FY2024,2024-12-18,0001628280-24-051885,consolidated,gross_margin_pct,22.1,pct,https://www.sec.gov/Archives/edgar/data/920760/000162828024051885/ex991-20241130x8kq4.htm
